H200	Instabil, explosiv.
H201	Explosiv, Gefahr der Massenexplosion.
H202	Explosiv; große Gefahr durch Splitter, Spreng- und Wurfstücke.
H203	Explosiv; Gefahr durch Feuer, Luftdruck oder Splitter, Spreng- und Wurfstücke.
H204	Gefahr durch Feuer oder Splitter, Spreng- und Wurfstücke.
H205	Gefahr der Massenexplosion bei Feuer.
H206	Gefahr durch Feuer, Druckstoß oder Sprengstücke; erhöhte Explosionsgefahr wenn das Desensibilisierungsmittel reduziert wird.
H207	Gefahr durch Feuer oder Sprengstücke; erhöhte Explosionsgefahr wenn das Desensibilisierungsmittel reduziert wird.
H208	Gefahr durch Feuer; erhöhte Explosionsgefahr wenn das Desensibilisierungsmittel reduziert wird.
H220	Extrem entzündbares Gas.
H221	Entzündbares Gas.
H222	Extrem entzündbares Aerosol.
H223	Entzündbares Aerosol.
H224	Flüssigkeit und Dampf extrem entzündbar.
H225	Flüssigkeit und Dampf leicht entzündbar.
H226	Flüssigkeit und Dampf entzündbar.
H228	Entzündbarer Feststoff.
H229	Behälter steht unter Druck: Kann bei Erwärmung bersten.
H230	Kann auch in Abwesenheit von Luft explosionsartig reagieren.
H231	Kann auch in Abwesenheit von Luft bei erhöhtem Druck und/oder erhöhter Temperatur explosionsartig reagieren.
H232	Kann sich bei Kontakt mit Luft spontan entzünden.
H240	Erwärmung kann Explosion verursachen.
H241	Erwärmung kann Brand oder Explosion verursachen.
H242	Erwärmung kann Brand verursachen.
H250	Entzündet sich in Berührung mit Luft von selbst.
H251	Selbsterhitzungsfähig; kann in Brand geraten.
H252	In großen Mengen selbsterhitzungsfähig; kann in Brand geraten.
H260	In Berührung mit Wasser entstehen entzündbare Gase, die sich spontan entzünden können.
H261	In Berührung mit Wasser entstehen entzündbare Gase.
H270	Kann Brand verursachen oder verstärken; Oxidationsmittel.
H271	Kann Brand oder Explosion verursachen; starkes Oxidationsmittel.
H272	Kann Brand verstärken; Oxidationsmittel.
H280	Enthält Gas unter Druck; kann bei Erwärmung explodieren.
H281	Enthält tiefgekühltes Gas; kann Kälteverbrennungen oder -verletzungen verursachen.
H290	Kann gegenüber Metallen korrosiv sein.
H300	Lebensgefahr bei Verschlucken.
H301	Giftig bei Verschlucken.
H302	Gesundheitsschädlich bei Verschlucken.
H304	Kann bei Verschlucken und Eindringen in die Atemwege tödlich sein.
H310	Lebensgefahr bei Hautkontakt.
H311	Giftig bei Hautkontakt.
H312	Gesundheitsschädlich bei Hautkontakt.
H314	Verursacht schwere Verätzungen der Haut und schwere Augenschäden.
H315	Verursacht Hautreizungen.
H317	Kann allergische Hautreaktionen verursachen.
H318	Verursacht schwere Augenschäden.
H319	Verursacht schwere Augenreizung.
H330	Lebensgefahr bei Einatmen.
H331	Giftig bei Einatmen.
H332	Gesundheitsschädlich bei Einatmen.
H334	Kann bei Einatmen Allergie, asthmaartige Symptome oder Atembeschwerden verursachen.
H335	Kann die Atemwege reizen.
H336	Kann Schläfrigkeit und Benommenheit verursachen.
H340	Kann genetische Defekte verursachen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H340.0	Kann genetische Defekte verursachen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H340-0	Kann genetische Defekte verursachen.
H340-1	Kann genetische Defekte verursachen{1}.
H341	Kann vermutlich genetische Defekte verursachen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H341.0	Kann vermutlich genetische Defekte verursachen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H341-0	Kann vermutlich genetische Defekte verursachen.
H341-1	Kann vermutlich genetische Defekte verursachen{1}.
H350	Kann Krebs erzeugen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H350.0	Kann Krebs erzeugen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H350-0	Kann Krebs erzeugen.
H350-1	Kann Krebs erzeugen{1}.
H350i	Kann bei Einatmen Krebs erzeugen.
H351	Kann vermutlich Krebs erzeugen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H351.0	Kann vermutlich Krebs erzeugen <Expositionsweg angeben, sofern schlüssig belegt ist, dass diese Gefahr bei keinem anderen Expositionsweg besteht>.
H351-0	Kann vermutlich Krebs erzeugen.
H351-1	Kann vermutlich Krebs erzeugen{1}.
